province,disease,age_group,sex,persons
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,0-4,ชาย,35841
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,0-4,หญิง,31577
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,0-4,ไม่ระบุ,1
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,10-14,ชาย,14705
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,10-14,หญิง,13810
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,15-19,ชาย,6561
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,15-19,หญิง,9147
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,20-24,ชาย,5836
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,20-24,หญิง,8817
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,25-29,ชาย,6656
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,25-29,หญิง,11398
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,30-34,ชาย,6598
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,30-34,หญิง,12146
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,35-39,ชาย,6078
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,35-39,หญิง,11958
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,40-44,ชาย,5702
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,40-44,หญิง,11605
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,45-49,ชาย,4943
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,45-49,หญิง,11473
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,5-9,ชาย,26956
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,5-9,หญิง,26930
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,50-54,ชาย,4552
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,50-54,หญิง,10888
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,55-59,ชาย,4328
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,55-59,หญิง,9583
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,60-64,ชาย,4147
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,60-64,หญิง,7615
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,65-69,ชาย,3479
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,65-69,หญิง,5303
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,70-74,ชาย,2888
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,70-74,หญิง,3692
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,75-79,ชาย,1801
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,75-79,หญิง,2032
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,80+,ชาย,2040
กระบี่,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,80+,หญิง,2565
