province,ym,disease,persons,visits,opd,ipd
กระบี่,2022-01,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,5435,6094,4890,725
กระบี่,2022-01,โรคปอดอุดกั้นเรื้อรัง,602,738,548,80
กระบี่,2022-01,โรคผิวหนังอักเสบ,253,268,253,0
กระบี่,2022-01,โรคลมพิษ,156,170,154,2
กระบี่,2022-01,โรคหอบหืด,682,775,643,54
กระบี่,2022-01,โรคเยื่อจมูกอักเสบจากภูมิแพ้,209,219,209,0
กระบี่,2022-01,โรคเยื่อบุตาอักเสบ,303,332,303,0
กระบี่,2022-02,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,8789,9839,6645,2610
กระบี่,2022-02,โรคปอดอุดกั้นเรื้อรัง,531,643,501,60
กระบี่,2022-02,โรคผิวหนังอักเสบ,158,166,158,0
กระบี่,2022-02,โรคลมพิษ,127,131,126,1
กระบี่,2022-02,โรคหอบหืด,591,641,563,37
กระบี่,2022-02,โรคเยื่อจมูกอักเสบจากภูมิแพ้,146,152,146,0
กระบี่,2022-02,โรคเยื่อบุตาอักเสบ,202,215,202,0
กระบี่,2022-03,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,16009,16852,13525,2631
กระบี่,2022-03,โรคปอดอุดกั้นเรื้อรัง,532,626,491,68
กระบี่,2022-03,โรคผิวหนังอักเสบ,171,188,171,0
กระบี่,2022-03,โรคลมพิษ,122,131,120,3
กระบี่,2022-03,โรคหอบหืด,513,563,494,26
กระบี่,2022-03,โรคเยื่อจมูกอักเสบจากภูมิแพ้,139,151,139,0
กระบี่,2022-03,โรคเยื่อบุตาอักเสบ,259,273,259,0
กระบี่,2022-04,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,5275,5523,4210,1092
กระบี่,2022-04,โรคปอดอุดกั้นเรื้อรัง,503,642,460,71
กระบี่,2022-04,โรคผิวหนังอักเสบ,226,242,226,0
กระบี่,2022-04,โรคลมพิษ,137,143,137,0
กระบี่,2022-04,โรคหอบหืด,526,621,511,27
กระบี่,2022-04,โรคเยื่อจมูกอักเสบจากภูมิแพ้,128,135,128,0
กระบี่,2022-04,โรคเยื่อบุตาอักเสบ,293,314,293,0
