province,ym,pm25,hours
กระบี่,2022-08,6.6,665
กระบี่,2022-09,7.2,720
กระบี่,2022-10,5.6,744
กระบี่,2022-11,7.1,720
กระบี่,2022-12,8.0,744
กระบี่,2023-01,11.0,744
กระบี่,2023-02,12.2,672
กระบี่,2023-03,14.1,744
กระบี่,2023-04,16.9,720
กระบี่,2023-05,7.1,744
กระบี่,2023-06,7.8,720
กระบี่,2023-07,9.1,744
กระบี่,2023-08,6.5,744
กระบี่,2023-09,8.0,720
กระบี่,2023-10,5.7,744
กระบี่,2023-11,6.5,720
กระบี่,2023-12,8.1,744
กระบี่,2024-01,12.0,744
กระบี่,2024-02,10.4,696
กระบี่,2024-03,12.6,744
กระบี่,2024-04,12.5,720
กระบี่,2024-05,10.5,744
กระบี่,2024-06,9.0,720
กระบี่,2024-07,12.6,744
กระบี่,2024-08,6.6,744
กระบี่,2024-09,7.0,720
กระบี่,2024-10,6.1,744
กระบี่,2024-11,7.0,720
กระบี่,2024-12,8.1,744
กระบี่,2025-01,12.8,744
กระบี่,2025-02,12.3,672
กระบี่,2025-03,14.4,744
กระบี่,2025-04,6.7,720
กระบี่,2025-05,6.2,744
กระบี่,2025-06,9.0,720
กระบี่,2025-07,7.9,744
กระบี่,2025-08,7.7,744
กระบี่,2025-09,6.0,720
กระบี่,2025-10,5.2,744
กระบี่,2025-11,8.3,720
กระบี่,2025-12,9.1,744
กรุงเทพฯ,2022-08,21.1,665
กรุงเทพฯ,2022-09,30.0,720
กรุงเทพฯ,2022-10,66.0,744
กรุงเทพฯ,2022-11,76.6,720
กรุงเทพฯ,2022-12,67.9,744
กรุงเทพฯ,2023-01,67.2,744
กรุงเทพฯ,2023-02,82.7,672
กรุงเทพฯ,2023-03,67.6,744
กรุงเทพฯ,2023-04,46.8,720
กรุงเทพฯ,2023-05,32.9,744
กรุงเทพฯ,2023-06,17.3,720
กรุงเทพฯ,2023-07,10.8,744
กรุงเทพฯ,2023-08,9.3,744
กรุงเทพฯ,2023-09,16.6,720
กรุงเทพฯ,2023-10,38.6,744
กรุงเทพฯ,2023-11,35.5,720
กรุงเทพฯ,2023-12,36.3,744
กรุงเทพฯ,2024-01,54.3,744
กรุงเทพฯ,2024-02,25.5,696
กรุงเทพฯ,2024-03,21.9,744
กรุงเทพฯ,2024-04,20.1,720
