province,issued_on,issued_at,target,window_start,window_end,pm25,previous_pm25,latest_pm25,actual_pm25,checked_at
กระบี่,2026-09-26,2026-09-26T12:58:35,day_after,2026-09-27T20:00,2026-09-28T19:00,5.2,6.4,6.1,,
กระบี่,2026-09-26,2026-09-26T12:58:35,tomorrow,2026-09-26T20:00,2026-09-27T19:00,5.6,6.4,6.1,,
กรุงเทพฯ,2026-09-26,2026-09-26T12:58:36,day_after,2026-09-27T20:00,2026-09-28T19:00,6.3,11.5,8.5,,
กรุงเทพฯ,2026-09-26,2026-09-26T12:58:36,tomorrow,2026-09-26T20:00,2026-09-27T19:00,7.1,11.5,8.5,,
กาญจนบุรี,2026-09-26,2026-09-26T12:58:36,day_after,2026-09-27T20:00,2026-09-28T19:00,9.6,17.3,13.0,,
กาญจนบุรี,2026-09-26,2026-09-26T12:58:36,tomorrow,2026-09-26T20:00,2026-09-27T19:00,10.9,17.3,13.0,,
กาฬสินธุ์,2026-09-26,2026-09-26T12:58:36,day_after,2026-09-27T20:00,2026-09-28T19:00,5.1,5.6,5.8,,
กาฬสินธุ์,2026-09-26,2026-09-26T12:58:36,tomorrow,2026-09-26T20:00,2026-09-27T19:00,5.5,5.6,5.8,,
กำแพงเพชร,2026-09-26,2026-09-26T12:58:36,day_after,2026-09-27T20:00,2026-09-28T19:00,9.2,12.7,11.3,,
กำแพงเพชร,2026-09-26,2026-09-26T12:58:36,tomorrow,2026-09-26T20:00,2026-09-27T19:00,10.2,12.7,11.3,,
ขอนแก่น,2026-09-26,2026-09-26T12:58:37,day_after,2026-09-27T20:00,2026-09-28T19:00,13.0,15.4,15.2,,
ขอนแก่น,2026-09-26,2026-09-26T12:58:37,tomorrow,2026-09-26T20:00,2026-09-27T19:00,14.1,15.4,15.2,,
จันทบุรี,2026-09-26,2026-09-26T12:58:37,day_after,2026-09-27T20:00,2026-09-28T19:00,5.7,5.6,6.4,,
จันทบุรี,2026-09-26,2026-09-26T12:58:37,tomorrow,2026-09-26T20:00,2026-09-27T19:00,6.2,5.6,6.4,,
ฉะเชิงเทรา,2026-09-26,2026-09-26T12:58:37,day_after,2026-09-27T20:00,2026-09-28T19:00,4.2,6.6,5.4,,
ฉะเชิงเทรา,2026-09-26,2026-09-26T12:58:37,tomorrow,2026-09-26T20:00,2026-09-27T19:00,4.7,6.6,5.4,,
ชลบุรี,2026-09-26,2026-09-26T12:58:37,day_after,2026-09-27T20:00,2026-09-28T19:00,2.1,9.8,4.4,,
ชลบุรี,2026-09-26,2026-09-26T12:58:37,tomorrow,2026-09-26T20:00,2026-09-27T19:00,2.7,9.8,4.4,,
ชัยนาท,2026-09-26,2026-09-26T12:58:37,day_after,2026-09-27T20:00,2026-09-28T19:00,4.7,10.7,6.9,,
ชัยนาท,2026-09-26,2026-09-26T12:58:37,tomorrow,2026-09-26T20:00,2026-09-27T19:00,5.4,10.7,6.9,,
ชัยภูมิ,2026-09-26,2026-09-26T12:58:37,day_after,2026-09-27T20:00,2026-09-28T19:00,2.9,6.1,4.0,,
ชัยภูมิ,2026-09-26,2026-09-26T12:58:37,tomorrow,2026-09-26T20:00,2026-09-27T19:00,3.2,6.1,4.0,,
ชุมพร,2026-09-26,2026-09-26T12:58:38,day_after,2026-09-27T20:00,2026-09-28T19:00,4.7,6.0,5.6,,
ชุมพร,2026-09-26,2026-09-26T12:58:38,tomorrow,2026-09-26T20:00,2026-09-27T19:00,5.1,6.0,5.6,,
ตรัง,2026-09-26,2026-09-26T12:58:38,day_after,2026-09-27T20:00,2026-09-28T19:00,6.1,6.6,6.8,,
ตรัง,2026-09-26,2026-09-26T12:58:38,tomorrow,2026-09-26T20:00,2026-09-27T19:00,6.5,6.6,6.8,,
ตราด,2026-09-26,2026-09-26T12:58:38,day_after,2026-09-27T20:00,2026-09-28T19:00,7.8,10.3,9.5,,
ตราด,2026-09-26,2026-09-26T12:58:38,tomorrow,2026-09-26T20:00,2026-09-27T19:00,8.6,10.3,9.5,,
นครนายก,2026-09-26,2026-09-26T12:58:38,day_after,2026-09-27T20:00,2026-09-28T19:00,4.3,6.9,5.6,,
นครนายก,2026-09-26,2026-09-26T12:58:38,tomorrow,2026-09-26T20:00,2026-09-27T19:00,4.8,6.9,5.6,,
นครปฐม,2026-09-26,2026-09-26T12:58:38,day_after,2026-09-27T20:00,2026-09-28T19:00,11.2,11.9,12.8,,
นครปฐม,2026-09-26,2026-09-26T12:58:38,tomorrow,2026-09-26T20:00,2026-09-27T19:00,12.2,11.9,12.8,,
นครพนม,2026-09-26,2026-09-26T12:58:39,day_after,2026-09-27T20:00,2026-09-28T19:00,5.4,7.6,6.6,,
นครพนม,2026-09-26,2026-09-26T12:58:39,tomorrow,2026-09-26T20:00,2026-09-27T19:00,6.0,7.6,6.6,,
นครราชสีมา,2026-09-26,2026-09-26T12:58:39,day_after,2026-09-27T20:00,2026-09-28T19:00,7.2,11.7,9.2,,
นครราชสีมา,2026-09-26,2026-09-26T12:58:39,tomorrow,2026-09-26T20:00,2026-09-27T19:00,8.0,11.7,9.2,,
นครศรีธรรมราช,2026-09-26,2026-09-26T12:58:39,day_after,2026-09-27T16:00,2026-09-28T15:00,5.1,6.8,6.2,,
นครศรีธรรมราช,2026-09-26,2026-09-26T12:58:39,tomorrow,2026-09-26T16:00,2026-09-27T15:00,5.6,6.8,6.2,,
นครสวรรค์,2026-09-26,2026-09-26T12:58:39,day_after,2026-09-27T16:00,2026-09-28T15:00,7.2,11.7,9.3,,
นครสวรรค์,2026-09-26,2026-09-26T12:58:39,tomorrow,2026-09-26T16:00,2026-09-27T15:00,8.1,11.7,9.3,,
นนทบุรี,2026-09-26,2026-09-26T12:58:40,day_after,2026-09-27T20:00,2026-09-28T19:00,2.3,6.7,3.7,,
