province,year,cases,rate_per_100k,source,note
กรุงเทพฯ,2569,88535,,HIV Info Hub กรมควบคุมโรค (อ้างผ่านสื่อ Bangkok Today),ผู้ติดเชื้อที่ยังมีชีวิตอยู่สะสม
ชลบุรี,2569,31072,,HIV Info Hub กรมควบคุมโรค (อ้างผ่านสื่อ Bangkok Today),ผู้ติดเชื้อที่ยังมีชีวิตอยู่สะสม
เชียงใหม่,2569,23949,,HIV Info Hub กรมควบคุมโรค (อ้างผ่านสื่อ Bangkok Today),ผู้ติดเชื้อที่ยังมีชีวิตอยู่สะสม
เชียงราย,2569,17524,,HIV Info Hub กรมควบคุมโรค (อ้างผ่านสื่อ Bangkok Today),ผู้ติดเชื้อที่ยังมีชีวิตอยู่สะสม
นครราชสีมา,2569,17196,,HIV Info Hub กรมควบคุมโรค (อ้างผ่านสื่อ Bangkok Today),ผู้ติดเชื้อที่ยังมีชีวิตอยู่สะสม
สมุทรปราการ,2569,16537,,HIV Info Hub กรมควบคุมโรค (อ้างผ่านสื่อ Bangkok Today),ผู้ติดเชื้อที่ยังมีชีวิตอยู่สะสม
นนทบุรี,2569,16277,,HIV Info Hub กรมควบคุมโรค (อ้างผ่านสื่อ Bangkok Today),ผู้ติดเชื้อที่ยังมีชีวิตอยู่สะสม
ขอนแก่น,2569,15876,,HIV Info Hub กรมควบคุมโรค (อ้างผ่านสื่อ Bangkok Today),ผู้ติดเชื้อที่ยังมีชีวิตอยู่สะสม
ปทุมธานี,2569,14385,,HIV Info Hub กรมควบคุมโรค (อ้างผ่านสื่อ Bangkok Today),ผู้ติดเชื้อที่ยังมีชีวิตอยู่สะสม
อุดรธานี,2569,12073,,HIV Info Hub กรมควบคุมโรค (อ้างผ่านสื่อ Bangkok Today),ผู้ติดเชื้อที่ยังมีชีวิตอยู่สะสม
ระยอง,2569,11011,,HIV Info Hub กรมควบคุมโรค (อ้างผ่านสื่อ Bangkok Today),ผู้ติดเชื้อที่ยังมีชีวิตอยู่สะสม
สงขลา,2569,10644,,HIV Info Hub กรมควบคุมโรค (อ้างผ่านสื่อ Bangkok Today),ผู้ติดเชื้อที่ยังมีชีวิตอยู่สะสม
อุบลราชธานี,2569,10314,,HIV Info Hub กรมควบคุมโรค (อ้างผ่านสื่อ Bangkok Today),ผู้ติดเชื้อที่ยังมีชีวิตอยู่สะสม
