measured_at,station_code,pm25,pm10,o3,co,no2,so2,aqi
2026-08-25T18:00:00,119t,11.4,,19.0,1.3,3.0,2.0,19
2026-08-25T18:00:00,02t,11.3,,,,,,19
2026-08-25T17:00:00,03t,14.6,,,,,,24
2026-08-25T17:00:00,05t,12.0,,,,,,20
2026-08-25T17:00:00,12t,11.9,,,,,,20
2026-08-25T18:00:00,50t,14.0,,,,,,23
2026-08-25T18:00:00,52t,14.1,,,,,,24
2026-08-25T18:00:00,53t,13.9,,,,,,23
2026-08-25T17:00:00,54t,14.7,,,,,,25
2026-08-25T18:00:00,59t,10.6,20.0,28.0,0.6,7.0,,20
2026-08-25T18:00:00,61t,11.5,,,,,,19
2026-08-25T18:00:00,bkp100t,7.4,,,,,,12
2026-08-25T18:00:00,bkp101t,13.0,21.0,,,,,22
2026-08-25T18:00:00,bkp102t,10.3,44.0,,,,,22
2026-08-25T18:00:00,bkp103t,12.7,,,,,,21
2026-08-25T18:00:00,bkp104t,11.0,26.0,,,,,18
2026-08-25T18:00:00,bkp105t,17.5,,,,,,32
2026-08-25T18:00:00,bkp114t,8.5,,,,,,14
2026-08-25T18:00:00,bkp115t,9.2,,,,,,15
2026-08-25T18:00:00,bkp116t,9.0,,,,,,15
2026-08-25T18:00:00,bkp117t,9.7,,,,,,16
2026-08-25T18:00:00,bkp118t,13.0,,,,,,22
2026-08-25T18:00:00,bkp119t,10.8,,,,,,18
2026-08-25T18:00:00,bkp120t,9.4,,,,,,16
2026-08-25T18:00:00,bkp121t,10.1,,,,,,17
2026-08-25T18:00:00,bkp122t,8.6,,,,,,14
2026-08-25T18:00:00,bkp123t,10.2,,,,,,17
2026-08-25T18:00:00,bkp124t,14.3,,,,,,24
2026-08-25T18:00:00,bkp125t,16.8,,,,,,30
2026-08-25T18:00:00,bkp126t,11.1,,,,,,19
2026-08-25T18:00:00,bkp127t,15.0,,,,,,25
2026-08-25T18:00:00,bkp128t,9.9,,,,,,17
2026-08-25T18:00:00,bkp129t,9.7,,,,,,16
2026-08-25T18:00:00,bkp130t,8.4,,,,,,14
2026-08-25T18:00:00,bkp131t,12.0,,,,,,20
2026-08-25T18:00:00,bkp133t,10.1,,,,,,17
2026-08-25T18:00:00,bkp56t,12.0,51.0,,,,,26
2026-08-25T18:00:00,bkp57t,14.0,42.0,,,,,23
2026-08-25T18:00:00,bkp58t,19.1,53.0,,,,,36
2026-08-25T18:00:00,bkp59t,9.3,40.0,,,,,20
2026-08-25T18:00:00,bkp60t,8.3,37.0,,,,,19
2026-08-25T18:00:00,bkp61t,8.9,23.0,,,,,15
2026-08-25T18:00:00,bkp62t,19.2,,,,,,36
2026-08-25T18:00:00,bkp63t,13.0,,,,,,22
2026-08-25T18:00:00,bkp64t,18.0,,,,,,33
2026-08-25T18:00:00,bkp65t,15.5,,,,,,27
2026-08-25T18:00:00,bkp66t,15.9,,,,,,28
2026-08-25T18:00:00,bkp67t,17.4,,,,,,32
2026-08-25T18:00:00,bkp69t,15.6,,,,,,27
2026-08-25T18:00:00,bkp70t,8.6,31.0,,,,,16
2026-08-25T18:00:00,bkp71t,9.6,30.0,,,,,16
2026-08-25T18:00:00,bkp72t,31.3,58.0,,,,,76
2026-08-25T18:00:00,bkp73t,12.6,,,,,,21
2026-08-25T18:00:00,bkp74t,7.8,33.0,,,,,17
2026-08-25T18:00:00,bkp75t,11.7,32.0,,,,,20
2026-08-25T18:00:00,bkp76t,8.5,,,,,,14
2026-08-25T18:00:00,bkp77t,8.7,26.0,,,,,15
2026-08-25T18:00:00,bkp78t,21.3,,,,,,41
2026-08-25T18:00:00,bkp79t,14.8,34.0,,,,,25
2026-08-25T18:00:00,bkp80t,15.2,63.0,,,,,36
2026-08-25T18:00:00,bkp81t,19.1,62.0,,,,,36
2026-08-25T18:00:00,bkp82t,16.4,,,,,,29
2026-08-25T18:00:00,bkp83t,8.8,,,,,,15
2026-08-25T18:00:00,bkp84t,18.0,41.0,,,,,33
2026-08-25T18:00:00,bkp85t,14.8,,,,,,25
2026-08-25T18:00:00,bkp86t,11.1,24.0,,,,,19
2026-08-25T18:00:00,bkp87t,10.6,25.0,,,,,18
2026-08-25T18:00:00,bkp88t,14.2,,,,,,24
2026-08-25T18:00:00,bkp89t,16.8,53.0,,,,,30
2026-08-25T18:00:00,bkp90t,15.3,45.0,,,,,26
2026-08-25T18:00:00,bkp91t,10.2,37.0,,,,,19
2026-08-25T18:00:00,bkp92t,14.9,,,,,,25
2026-08-25T18:00:00,bkp93t,8.6,28.0,,,,,14
2026-08-25T18:00:00,bkp94t,15.3,,,,,,26
2026-08-25T18:00:00,bkp95t,15.6,,,,,,27
2026-08-25T18:00:00,bkp96t,11.9,26.0,,,,,20
2026-08-25T18:00:00,bkp97t,15.2,,,,,,26
2026-08-25T18:00:00,bkp98t,18.3,,,,,,34
2026-08-25T18:00:00,bkp99t,11.0,19.0,,,,,18
2026-08-25T18:00:00,o10,11.7,,,,,,20
2026-08-25T18:00:00,79t,18.9,,,,,,35
2026-08-25T18:00:00,107t,12.9,,29.0,0.2,3.0,0.0,22
